Element,Line
Al,K12
Si,K12
P,K12
S,K12
Cl,K12
Ar,K12
K,K12
Ca,K12
Sc,K12
Ti,K12
V,K12
Cr,K12
Mn,K12
Fe,K12
Co,K12
Ni,K12
Cu,K12
Zn,K12
Ga,K12
Ga,L1
Ge,K12
Ge,L1
As,K12
As,L1
Se,K12
Se,L1
Br,K12
Br,L1
Kr,K12
Kr,L1
Rb,K12
Rb,L1
Sr,K12
Sr,L1
Y,K12
Y,L1
Zr,K12
Zr,L1
Nb,K12
Nb,L1
Mo,K12
Mo,L1
Ru,K12
Ru,L1
Rh,K12
Rh,L1
Pd,K12
Pd,L1
Ag,K12
Ag,L1
Cd,K12
Cd,L1
In,K12
In,L1
Sn,K12
Sn,L1
Sb,K12
Sb,L1
Te,K12
Te,L1
I,K12
I,L1
Cs,K12
Cs,L1
Ba,K12
Ba,L1
La,K12
La,L1
Hf,L1
Hf,M1
Ta,L1
Ta,M1
W,L1
W,M1
Re,L1
Re,M1
Os,L1
Os,M1
Ir,L1
Ir,M1
Ce,K12
Ce,L1
Pr,K12
Pr,L1
Nd,K12
Nd,L1
Pm,K12
Pm,L1
Sm,K12
Sm,L1
Eu,L1
Eu,M1
Gd,L1
Gd,M1
Tb,L1
Tb,M1
Dy,L1
Dy,M1
Ho,L1
Ho,M1
Er,L1
Er,M1
Tm,L1
Tm,M1
Yb,L1
Yb,M1
Lu,L1
Lu,M1
Pt,L1
Pt,M1
Au,L1
Au,M1
Hg,L1
Hg,M1
Tl,L1
Tl,M1
Pb,L1
Pb,M1
Bi,L1
Bi,M1
Po,L1
Po,M1
Ac,L1
Ac,M1
Th,L1
Th,M1
Pa,L1
Pa,M1
U,L1
U,M1
